"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"404","CVSP",282,2005,3644,0,3644,1738,209.7,3860,NA
"405","CTF",300,2005,7095,0,7095,3281,216.2,7001,NA
"406","DVI",309,2005,3872,23,3895,1787,218,3551,NA
"407","FOL",318,2005,3967,0,3967,2475,160.3,4249,NA
"408","HDP",327,2005,4583,1,4584,2344,195.6,4752,NA
"409","IRON",345,2005,4537,0,4537,2200,206.2,4653,NA
"410","KVSP",355,2005,617,0,617,2448,25.2,4366,NA
"411","MCSP",364,2005,3804,0,3804,1700,223.8,3837,NA
"412","NKSP",373,2005,5297,7,5304,2692,197,5387,NA
"413","PDC",391,2005,1393,0,1393,0,0,1292,NA
"414","PBSP",400,2005,3428,0,3428,2280,150.4,3582,NA
"415","PVSP",409,2005,4929,0,4929,2208,223.2,5028,NA
"416","RIO",418,2005,290,0,290,0,0,250,NA
"417","RJD",436,2005,4698,0,4698,2200,213.5,4443,NA
